T,Dk,Dv,dtype,mode,status,tensor,max_rel,one_minus_cos,dims
4096,64,128,bfloat16,bf16,ok,dv,0.004484,8.464e-06,64×128
4096,64,128,bfloat16,bf16,ok,dg,0.003984,7.749e-06,64×128
4096,64,128,bfloat16,bf16,ok,dbeta,0.003162,6.08e-06,64×128
256,64,64,float32,fp32-ieee,ok,fwd out,0.0001069,0.0,64×64
256,64,64,float32,fp32-ieee,ok,fwd state,6.85e-05,0.0,64×64
256,64,64,float32,fp32-ieee,ok,dq,0.0001343,0.0,64×64
256,64,64,float32,fp32-ieee,ok,dk,0.0001691,0.0,64×64
256,64,64,float32,fp32-ieee,ok,dv,0.0001708,-1.192e-07,64×64
256,64,64,float32,fp32-ieee,ok,dg,0.0001183,0.0,64×64
256,64,64,float32,fp32-ieee,ok,dbeta,0.0001476,0.0,64×64
256,128,128,float32,fp32-ieee,ok,fwd out,7.458e-05,0.0,128×128
256,128,128,float32,fp32-ieee,ok,fwd state,4.748e-05,0.0,128×128
256,128,128,float32,fp32-ieee,ok,dq,8.289e-05,1.192e-07,128×128
256,128,128,float32,fp32-ieee,ok,dk,0.0001277,0.0,128×128
256,128,128,float32,fp32-ieee,ok,dv,0.0001218,1.192e-07,128×128
256,128,128,float32,fp32-ieee,ok,dg,4.47e-05,0.0,128×128
256,128,128,float32,fp32-ieee,ok,dbeta,0.0001061,0.0,128×128
256,64,128,float32,fp32-ieee,ok,fwd out,9.03e-05,5.96e-08,64×128
256,64,128,float32,fp32-ieee,ok,fwd state,8.393e-05,1.192e-07,64×128
256,64,128,float32,fp32-ieee,ok,dq,9.12e-05,0.0,64×128
256,64,128,float32,fp32-ieee,ok,dk,0.000173,0.0,64×128
256,64,128,float32,fp32-ieee,ok,dv,0.0001571,0.0,64×128
256,64,128,float32,fp32-ieee,ok,dg,8.901e-05,0.0,64×128
256,64,128,float32,fp32-ieee,ok,dbeta,0.000135,0.0,64×128
1024,64,64,float32,fp32-ieee,ok,fwd out,0.0001073,0.0,64×64
1024,64,64,float32,fp32-ieee,ok,fwd state,7.243e-05,5.96e-08,64×64
1024,64,64,float32,fp32-ieee,ok,dq,0.0001015,0.0,64×64
1024,64,64,float32,fp32-ieee,ok,dk,0.000143,5.96e-08,64×64
1024,64,64,float32,fp32-ieee,ok,dv,0.0001622,1.192e-07,64×64
1024,64,64,float32,fp32-ieee,ok,dg,0.00011,0.0,64×64
1024,64,64,float32,fp32-ieee,ok,dbeta,0.0001463,5.96e-08,64×64
1024,128,128,float32,fp32-ieee,ok,fwd out,7.804e-05,0.0,128×128
1024,128,128,float32,fp32-ieee,ok,fwd state,3.923e-05,0.0,128×128
1024,128,128,float32,fp32-ieee,ok,dq,7.397e-05,0.0,128×128
1024,128,128,float32,fp32-ieee,ok,dk,0.0001078,5.96e-08,128×128
1024,128,128,float32,fp32-ieee,ok,dv,0.0001031,5.96e-08,128×128
